Postcode,Map code,Long,Lat,dieciséis,sucio,casa,caza,cincuenta y seis,sesenta y cinco,ceta,oso,papá,papás,tapar,paz,batí,batís,ve,ves,lo,los,champú,champús,pie,pies,grafittis,teles,gatas,osos,racha,raya,ralla,yegua,llega,caja,jabalí,los ojos,humo,hambre,tapar,municipal,coser,cocer,dos horas,albañil,calcetín,arcoiris,árbol,graffiti,pito,pitos,tele,tela,telas,gato,gatos,oso,osa,osas,lupa,lupas,ver,ven,vez,va,vas,bar,van,gasta,gastas,cesta,esta,está,hecha,este,esté,vaca,vasca,vacas,vascas,capa,caspa,resbalar,dos batas,desde,dos dedos,musgo,dos gotas,dos llaves,dos yeguas,dos hielos,peine,hielo,huevo,i,e,a,o,u,pera,perra,vara,barra,catarata,cataratas,nuca,nucas,azúcar,cetas,cestas,capi,lápiz,Fernándo,Fernández,batir,matiz,calor,veloz,Singapur,Chapuz,piel,azul,atún,pez,ñoño,naranja,dedo,coche,yegua,cayó,tizne,lobezno
,,,,djeθiˈsɛɪ,ˈsuθjo,ˈkasa,ˈkaθa,θiŋkwentaiˈsɛɪ,sesentaiˈθiŋko,ˈθeta,ˈoso,paˈpa,paˈpa̞,taˈpa̞,pa̞,baˈti,baˈtɪ,be,bɛ,lo,lɔ,tʃamˈpu,tʃamˈpʊ,pje,pjɛ,ɡɾaˈfɪtɪ,ˈtɛlɛ,ˈɡa̞ta̞,ˈɔsɔ,ˈratʃa,ˈraʝa,ˈraʝa,ˈdʒeɣwa,ˈdʒeɣa,ˈkaxa,xaβaˈli,lɔ ˈɔxɔ,ˈumo,ˈambɾe,taˈpa̞,muniˈθipa̞,koˈsɛ,koˈθɛ,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpɪtɔ,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,bɛ,beŋ,bɛ,ba,ba̞,ba̞,baŋ,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈɛtːa,ɛˈtːa,ˈetʃa,ˈɛtːe,ɛˈtːe,ˈbaka,ˈba̞kːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rɛβːaˈla̞,dɔ ˈbːa̞ta̞,ˈdɛdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,i,e,a,o,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθɛta̞,ˈθɛtːa̞,ˈkapi,ˈla̞pɪ,fɛˈnːando,fɛˈnːa̞dɛ,baˈtɪ,maˈtɪ,kaˈlɔ,beˈlɔ,siŋɡaˈpʊ,tʃaˈpʊ,pjɛl,aˈθu,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈʝo,ˈtɪnːe,loˈbɛnːo
,,,,djeθiˈsɛɪ,ˈsuθjo,ˈkasa,ˈkaθa,θiŋkwentaiˈsɛɪ,sesentaiˈθiŋko,ˈθeta,ˈoso,paˈpa,paˈpa̞,taˈpa̞,pa̞,baˈti,baˈtih,be,bɛ,lo,lɔ,tʃamˈpu,tʃamˈpuh,pje,pjɛ,ɡɾaˈfɪtɪ,ˈtɛlɛ,ˈɡa̞ta̞,ˈɔsɔ,ˈratʃa,ˈraʝa,ˈraʝa,ˈʝeɣwa,ˈdʒeɣa,ˈkaxa,xaβaˈli,los ˈɔxɔ,ˈumo,ˈambɾe,taˈpa̞,muniˈθipa̞,koˈsɛ,koˈθɛ,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpɪtɔ,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,bɛ,beŋ,bɛ,ba,ba̞,ba̞,baŋ,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈɛtːa,ɛˈtːa,ˈetʃa,ˈɛtːe,ɛˈtːe,ˈbaka,ˈba̞kːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rɛβːaˈla̞,dɔ ˈbːa̞ta̞,ˈdɛdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,i,e,a,o,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθɛta̞,ˈθɛtːa̞,ˈkapi,ˈla̞pɪ,fɛˈnːando,fɛˈnːa̞dɛ,baˈtɪ,maˈtɪ,kaˈlɔ,beˈlɔ,siŋɡaˈpʊ,tʃaˈpʊ,pjɛl,aˈθu,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈʝo,ˈtɪnːe,loˈbɛnːo
,,,,djeθiˈsɛɪ,ˈsuθjo,ˈkasa,ˈkaθa,θiŋkwentaiˈsɛɪ,sesentaiˈθiŋko,ˈθeta,ˈoso,paˈpa,paˈpa̞,taˈpa̞,pa̞,baˈti,baˈtɪ,be,beh,lo,lɔ,tʃamˈpu,tʃamˈpʊ,pje,pjɛ,ɡɾaˈfɪtɪ,ˈtɛlɛ,ˈɡa̞ta̞,ˈɔsɔ,ˈratʃa,ˈraʝa,ˈraʝa,ˈdʒeɣwa,ˈdʒeɣa,ˈkaxa,xaβaˈli,lɔ ˈɔxɔ,ˈumo,ˈambɾe,taˈpa̞,muniˈsipa̞,koˈsɛ,koˈsɛ,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpɪtɔ,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,bɛ,beŋ,bɛ,ba,ba̞,ba̞,baŋ,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈɛtːa,ɛˈtːa,ˈetʃa,ˈɛtːe,ɛˈtːe,ˈbaka,ˈba̞kːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rɛβːaˈla̞,dɔ ˈbːa̞ta̞,ˈdɛdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,i,ɛ,a,o,ʊ,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθɛta̞,ˈθɛtːa̞,ˈkapi,ˈla̞pɪ,fɛˈnːando,fɛˈnːa̞dɛ,baˈtɪ,maˈtɪ,kaˈlɔ,beˈlɔ,siŋɡaˈpʊ,tʃaˈpʊ,pjɛl,aˈθu,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈʝo,ˈtɪnːe,loˈbehnːo
,,,,djeθiˈsɛɪ,ˈsuθjo,ˈkasa,ˈkaθa,θiŋkwentaiˈsɛɪ,sesentaiˈθiŋko,ˈθeta,ˈoso,paˈpa,paˈpa̞,taˈpa̞,pa̞,baˈti,baˈtɪ,be,bɛ,lo,lɔ,tʃamˈpu,tʃamˈpuh,pje,pjɛ,ɡɾaˈfɪtɪ,ˈtɛlɛ,ˈɡa̞ta̞,ˈosoh,ˈratʃa,ˈraja,ˈraja,ˈdʒeɣwa,ˈdʒeɣa,ˈkaxa,xaβaˈli,lɔ ˈɔxɔ,ˈumo,ˈambɾe,taˈpa̞,muniˈθipa̞,koˈθɛ,koˈθɛ,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpɪtɔ,ˈtele,ˈtela,ˈtelah,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,bɛ,beŋ,bɛ,ba,ba̞,ba̞,baŋ,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈɛtːa,ɛˈtːa,ˈetʃa,ˈɛtːe,ɛˈtːe,ˈbaka,ˈba̞kːa,ˈbakah,ˈba̞kːa̞,ˈkapa,ˈkahphːa,rɛβːaˈla̞,dɔ ˈbːa̞ta̞,ˈdɛdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,dɔ ˈɣɔta̞,doh ˈʝaβeh,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,i,e,ɑ,o,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθɛta̞,ˈθɛtːa̞,ˈkapi,ˈla̞pɪ,fɛˈnːando,fɛˈnːa̞dɛ,baˈtɪ,maˈtih,kaˈlɔ,beˈlɔ,siŋɡaˈpʊ,tʃaˈpʊ,pjɛl,aˈθu,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈjo,ˈtɪnːe,loˈbɛnːo
,,,,djeθiˈsɛɪ,ˈsuθjo,ˈkasa,ˈkaθa,siŋkwentaiˈsɛɪ,sesentaiˈθiŋko,ˈθeta,ˈoθo,paˈpa,paˈpa̞,taˈpah,pa̞,baˈti,baˈtɪ,be,bɛ,lo,lɔ,tʃamˈpu,ʃamˈpuh,pje,pjɛ,ɡɾaˈfɪtɪ,ˈtɛlɛ,ˈɡa̞ta̞,ˈɔsɔ,ˈratʃa,ˈraʝa,ˈraʝa,ˈʝeɣwa,ˈʝeɣa,ˈkaxa,xaβaˈli,los ˈɔhɔ,ˈhumo,ˈxambɾe,taˈpa̞,muniˈθipa̞,koˈsɛ,koˈθeh,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpɪtɔ,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,bɛ,beŋ,bɛ,ba,ba̞,ba̞,baŋ,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈɛtːa,ɛˈtːa,ˈetʃa,ˈɛtːe,ɛˈtːe,ˈbaka,ˈba̞kːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rehβːaˈlah,dɔ ˈbːa̞ta̞,ˈdɛdːe,doh ˈðːedoh,ˈmʊɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,ɪ,e,a,ɔ,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθɛta̞,ˈθɛtːa̞,ˈkapi,ˈla̞pɪ,fɛˈnːando,fɛˈnːa̞dɛ,baˈtɪ,maˈtɪ,kaˈlɔ,beˈlɔ,siŋɡaˈpʊ,tʃaˈpuh,pjɛl,aˈθu,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈʝo,ˈtɪnːe,loˈbehnːo
,,,,djeθiˈseih,ˈsusjo,ˈkasa,ˈkaθa,θiŋkwentaiˈsɛɪ,sesentaiˈθiŋko,ˈθeta,ˈoso,paˈpa,paˈpa̞,taˈpah,pah,baˈti,baˈtɪ,be,beh,lo,loh,tʃamˈpu,tʃamˈpuh,pje,pjɛ,ɡɾaˈfɪtɪ,ˈteleh,ˈɡatah,ˈosoh,ˈraʃa,ˈraja,ˈraja,ˈdʒeɣwa,ˈdʒeɣa,ˈkaxa,xaβaˈli,loh ˈɔhɔ,ˈumo,ˈambɾe,taˈpa̞,muniˈθipa̞,koˈsɛ,koˈθɛ,dɔh ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpitoh,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,bɛ,beŋ,bɛ,ba,ba̞,ba̞,baŋ,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈɛtːa,ɛˈtːa,ˈetʃa,ˈɛtːe,ɛˈtːe,ˈbaka,ˈbahkhːa,ˈba̞ka̞,ˈbahkhːah,ˈkapa,ˈkahpːa,rehβːaˈlah,doh ˈbːa̞ta̞,ˈdehdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,doh ˈɣotah,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,doh ˈʝeloh,ˈpeine,ˈʝelo,ˈweβo,i,ɛ,a,o,ʊ,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθukah,ˈθɛta̞,ˈθɛtːa̞,ˈkapi,ˈlapih,fehˈnːando,fehˈnːadeh,baˈtɪ,maˈtɪ,kaˈlɔ,beˈlɔ,siŋɡaˈpuh,tʃaˈpʊ,pjɛl,aˈθul,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkoʃe,ˈʝeɣwa,kaˈjo,ˈtihnːe,loˈbɛnːo
,,,,djeθiˈseih,ˈsusjo,ˈkaθa,ˈkaθa,siŋkwentaiˈsɛɪ,θeθentaiˈθiŋko,ˈseta,ˈoθo,paˈpa,paˈpa̞,taˈpa̞,pa̞,baˈti,baˈtih,be,bɛ,lo,lɔ,ʃamˈpu,tʃamˈpuh,pje,pjɛ,ɡɾaˈfɪtih,ˈtɛlɛ,ˈɡa̞ta̞,ˈɔθɔ,ˈratʃa,ˈraʝa,ˈraʝa,ˈdʒeɣwa,ˈdʒeɣa,ˈkaha,haβaˈli,lɔ ˈɔxɔ,ˈumo,ˈambɾe,taˈpah,muniˈsipah,koˈshe,koˈθɛ,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾseˈtɪ,aɾkoˈɪɾɪ,ˈaɾβoh,ɡɾaˈfiti,ˈpito,ˈpitoh,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,bɛ,beŋ,bɛ,ba,bah,ba̞,baŋ,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈsɛtːa,ˈɛtːa,ɛˈtːa,ˈeʃa,ˈɛtːe,ɛˈtːe,ˈbaka,ˈbahkːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rɛβːaˈla̞,dɔ ˈbːa̞ta̞,ˈdehdːe,dɔ ˈðːɛdɔ,ˈmuhɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpaine,ˈʝelo,ˈɡweβo,ɪ,e,ɑ,o,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnukah,aˈθʊka̞,ˈsɛta̞,ˈsɛtːa̞,ˈkapi,ˈlapɪ,fehˈnːando,fehˈnːadeh,baˈtɪ,maˈtɪ,kaˈloh,beˈloh,siŋɡaˈpʊ,ʃaˈpʊ,pjeh,aˈθul,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞ha,ˈdeðo,ˈkoʃe,ˈʝeɣwa,kaˈʝo,ˈtihnːe,loˈbɛnːo
,,,,djeθiˈseih,ˈθuθjo,ˈkaθa,ˈkaθa,θiŋkwentaiˈseih,θeθentaiˈθiŋko,ˈseta,ˈoso,paˈpa,paˈpah,taˈpa̞,pa̞,baˈti,baˈtɪ,be,bɛ,lo,loh,tʃamˈpu,ʃamˈpuh,pje,pjɛ,ɡɾaˈfɪtih,ˈtɛlɛ,ˈɡatah,ˈɔsɔ,ˈraʃa,ˈraʝa,ˈraʝa,ˈdʒeɣwa,ˈdʒeɣa,ˈkaha,haβaˈli,lɔ ˈɔxɔ,ˈhumo,ˈhambɾe,taˈpah,muniˈθipa̞,koˈsɛ,koˈθɛ,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpitoh,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡa̞tɔ,ˈoso,ˈosa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,beh,beŋ,bɛ,ba,bah,ba̞,baŋ,ˈɡahtːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈɛtːa,ehˈtːa,ˈeʃa,ˈehtːe,ɛˈtːe,ˈbaka,ˈba̞kːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rɛβːaˈla̞,doh ˈbːa̞ta̞,ˈdɛdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,doh ˈʝeɣwah,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,i,e,a,ɔ,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈratah,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθetah,ˈθɛtːa̞,ˈkapi,ˈlapih,fɛˈnːando,fɛˈnːa̞dɛ,baˈtɪ,maˈtih,kaˈlɔ,beˈloh,siŋɡaˈpʊ,tʃaˈpʊ,pjeh,aˈθu,aˈtuŋ,pɛ,ˈɲoɲo,naˈɾa̞ha,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈʝo,ˈtɪnːe,loˈbɛnːo
,,,,djeθiˈseih,ˈθuθjo,ˈkaθa,ˈkasa,θiŋkwentaiˈseih,sesentaiˈθiŋko,ˈθeta,ˈoso,paˈpa,paˈpa̞,taˈpa̞,pa̞,baˈti,baˈtɪ,be,bɛ,lo,lɔ,ʃamˈpu,tʃamˈpʊ,pje,pjeh,ɡɾaˈfɪtɪ,ˈteleh,ˈɡa̞ta̞,ˈɔθɔ,ˈratʃa,ˈraʝa,ˈraʝa,ˈdʒeɣwa,ˈjeɣa,ˈkaxa,xaβaˈli,lɔ ˈɔxɔ,ˈumo,ˈambɾe,taˈpa̞,muniˈθipah,koˈshe,koˈθɛ,dɔh ˈɔɾa̞,aɾβaˈɲɪ,kaɾseˈtɪ,aɾkoˈɪɾɪ,ˈaɾβoh,ɡɾaˈfiti,ˈpito,ˈpitoh,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡatoh,ˈoθo,ˈoθa,ˈɔsa̞,ˈlupa,ˈlʊpa̞,beh,beŋ,beh,ba,ba̞,bah,baŋ,ˈɡahthːa,ˈɡahthːaah,ˈθehtːa,ˈehtːa,ehˈthːa,ˈetʃa,ˈehtːe,ehˈtːe,ˈbaka,ˈba̞kːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rɛβːaˈla̞,dɔ ˈbːa̞ta̞,ˈdɛdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,i,e,a,o,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθɛta̞,ˈθehthːah,ˈkapi,ˈla̞pɪ,fɛˈnːando,fɛˈnːa̞dɛ,baˈth,maˈtɪ,kaˈloh,beˈlɔ,siŋɡaˈpuh,ʃaˈpʊ,pjɛl,aˈsu,aˈtuŋ,peh,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈʝo,ˈtɪnːe,loˈbɛnːo
,,,,djeθiˈseih,ˈθuθjo,ˈkaθa,ˈkasa,θiŋkwentaiˈseih,sesentaiˈθiŋko,ˈθeta,ˈoso,paˈpa,paˈpah,taˈpa̞,pah,baˈti,baˈtɪ,be,bɛ,lo,lɔ,tʃamˈpu,tʃamˈpʊ,pje,pjeh,ɡɾaˈfɪtɪ,ˈtɛlɛ,ˈɡa̞ta̞,ˈɔsɔ,ˈratʃa,ˈraʝa,ˈraʝa,ˈdʒeɣwa,ˈdʒeɣa,ˈkaxa,xaβaˈli,lɔ ˈɔxɔ,ˈumo,ˈambɾe,taˈpa̞,muniˈθipa̞,koˈsɛ,koˈθɛ,dɔ ˈɔɾa̞,aɾβaˈɲɪ,kaɾθeˈtɪ,aɾkoˈɪɾɪ,ˈaɾβɔ,ɡɾaˈfiti,ˈpito,ˈpitoh,ˈtele,ˈtela,ˈtɛla̞,ˈɡato,ˈɡatoh,ˈoθo,ˈoθa,ˈoθah,ˈlupa,ˈlʊpa̞,beh,bɛ̃,beh,ba,ba̞,bah,bã̞,ˈɡa̞tːa,ˈɡa̞tːa̞,ˈθɛtːa,ˈehtːa,ɛˈtːa,ˈetʃa,ˈɛtːe,ehˈthːe,ˈbaka,ˈba̞kːa,ˈba̞ka̞,ˈba̞kːa̞,ˈkapa,ˈka̞pːa,rɛβːaˈla̞,dɔ ˈbːa̞ta̞,ˈdɛdːe,dɔ ˈðːɛdɔ,ˈmʊɡːo,dɔ ˈɣɔta̞,dɔ ˈʝa̞βɛ,dɔ ˈʝɛɣwa̞,dɔ ˈʝɛlɔ,ˈpeine,ˈjelo,ˈweβo,i,e,a,o,u,ˈpeɾa,ˈpera,ˈbaɾa,ˈbara,kataˈɾata,kataˈra̞ta̞,ˈnuka,ˈnʊka̞,aˈθʊka̞,ˈθɛta̞,ˈθɛtːa̞,ˈkapi,ˈla̞pɪ,fɛˈnːando,fɛˈnːa̞dɛ,baˈth,maˈtɪ,kaˈlɔ,beˈlɔ,siŋɡaˈpʊ,tʃaˈpʊ,pjɛl,aˈθu,aˈtuŋ,peh,ˈɲoɲo,naˈɾa̞xa,ˈdeðo,ˈkotʃe,ˈdʒeɣwa,kaˈʝo,ˈtɪnːe,loˈbɛnːo
